title,description,directions,images,ingredients,meal_type,prep,servings,total
Almost White Castle Hamburgers,A copycat White Castle sliders recipe. These little hamburger sliders are easy to make using 7 simple ingredients and are perfect for a large crowd.,"Step1: Preheat the oven to 400 degrees F (200 degrees C). Step2: Combine ground chuck, bread crumbs, egg, onion soup mix, water, and black pepper in a bowl; press into a 10x15-inch jelly roll pan. Prick holes through the chuck mixture for ventilation while cooking. Step3: Bake in the preheated oven until browned and cooked through, about 10 minutes. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C). Drain excess grease. Step4: Cut chuck mixture into squares the size of the rolls. Place 1 chuck patty in each roll.",26.jpg,"1.5 pounds ground chuck, 0.33333334326744 cup plain bread crumbs, 1 large egg, 1 (1 ounce) package dry onion soup mix, 2 tablespoons water, 0.5 teaspoon ground black pepper, 24 small square dinner rolls",dinner,15,24,25
Braised Beef Shank with Wine and Tarragon,"This beef shank recipe uses a flavorful braising liquid of Marsala wine, beef broth, and tarragon for fall-off-the-bone beef for an easy, hearty meal.","Step1: Gather all ingredients. Step2: Preheat the oven to 300 degrees F (150 degrees C). Step3: Heat olive oil in an oven-proof deep skillet with a lid over medium-high heat. Season beef shank with salt and pepper. Step4: Cook beef shank in hot oil until browned on all sides, 5 to 10 minutes. Transfer beef shank to a plate. Step5: Sauté onion and celery in the same skillet until onion turns translucent, 5 to 10 minutes. Step6: Pour in wine and bring to a boil while scraping the browned bits of food off of the bottom of the pan with a wooden spoon. Step7: Place beef shank into onion-wine mixture; add beef broth and pour in enough water to cover 1/2 to 3/4 of the beef shank. Sprinkle tarragon over shank; cover the skillet with a lid. Step8: Bake in the preheated oven until meat falls off the bone, about 5 hours. Season with salt and pepper before serving.",27.jpg,"2 tablespoons olive oil, 2 pounds beef shank, salt and ground black pepper to taste, 1 onion, cut into 1/2-inch cubes, 2 stalks celery, cut into 1/2-inch cubes, 1 cup Marsala wine, 1 (14 ounce) can beef broth, 1 cup water, or as needed, 2 tablespoons dried tarragon",dinner,15,4,325
Easy Rib Eye Roast,"Rib-eye roast on the bone is always a crowd-pleaser. This easy five-ingredient recipe is a snap to prepare and carves up tender, juicy, and delicious.","Step1: Preheat the oven to 500 degrees F (260 degrees C). Step2: Beat butter and garlic together in a bowl. Step3: Poke several holes in rib eye with a sharp knife. Rub butter mixture all over meat and season with salt and pepper. Place rib eye fat-side up in a roasting pan. Step4: Roast in the preheated oven for 20 minutes. Step5: Reduce heat to 325 degrees F (165 degrees C) and continue cooking until rib eye is reddish-pink and juicy in the center, 1 1/2 to 2 hours. An instant-read thermometer inserted into the center will read 145 degrees F (63 degrees C) for medium.",28.jpg,"1 cup softened butter, 6 cloves garlic, minced, 1 (4 pound) bone-in rib-eye roast, sea salt and cracked black pepper to taste",dinner,10,8,100
Lasagna Flatbread,"Give lasagna a quick and easy pizza makeover by baking sausage, ricotta, marinara sauce, and mozzarella on flatbreads.","Step1: Preheat oven to 375 degrees F (190 degrees C). Step2: Combine ricotta cheese, 1/2 of the mozzarella cheese, Parmesan cheese, egg, and Italian seasoning in a bowl. Step3: Cook sausage in a skillet over medium heat until no longer pink, 5 to 10 minutes; drain. Stir in marinara sauce. Step4: Spread 1/6 of the cheese mixture evenly on each flatbread; cover with sausage mixture. Top with remaining mozzarella cheese. Step5: Bake in the preheated oven until cheese is melted and bubbly, 10 to 15 minutes.",29.jpg,"1 (15 ounce) container ricotta cheese, 1 (8 ounce) package shredded mozzarella cheese, divided, 1 (3 ounce) package Parmesan cheese, 1 egg, 2 teaspoons Italian seasoning, 1 pound sausage, 0.5 (26 ounce) jar marinara sauce, 6 flatbreads",dinner,25,6,40
Prosciutto-Wrapped Pork Tenderloin with Crispy Sage,Prosciutto-wrapped pork tenderloin with crispy sage is a quick and easy meal made with only 5 ingredients for a fancy dinner any night of the week.,"Step1: Preheat oven to 350 degrees F (175 degrees C). Step2: Lightly season pork with salt and black pepper. Arrange about 6 sage leaves over tenderloin. Wrap prosciutto around tenderloin and sage, overlapping prosciutto slightly; wrap in plastic wrap and refrigerate to allow prosciutto to set on pork tenderloin, 5 to 10 minutes. Remove plastic wrap. Step3: Heat olive oil in a skillet over medium heat. Fry wrapped tenderloin in the hot oil until prosciutto is crispy and lightly browned on all sides, 8 to 10 minutes. Transfer wrapped tenderloin to a baking dish, reserving oil in the skillet. Step4: Bake tenderloin in the preheated oven until pork is cooked through, about 20 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C). Step5: Heat reserved oil in the skillet over medium heat; fry remaining sage leaves until crispy, adding more oil as needed, about 5 minutes. Step6: Slice tenderloin and serve with crispy sage leaves.",30.jpg,"1 pound pork tenderloin, salt and ground black pepper to taste, 1 bunch fresh sage, leaves removed and stems discarded, divided, 6 ounces prosciutto, 1 tablespoon olive oil, or more as needed",dinner,10,4,50
Air Fryer Shrimp Fried Rice,"This shrimp fried rice is so deliciously savory, nobody will believe you made it with an air fryer","Step1: Remove the basket insert from air fryer. Preheat the air fryer to 400 degrees F (200 degrees C) for 5 minutes. Step2: Add oil to the basket holder to coat; add onion, carrot, and 1/2 teaspoon of the salt, and stir to combine. Cook for 5 minutes. Add eggs; cook until partially set, about 3 minutes. Step3: Add shrimp, rice, peas, soy sauce, vinegar, pepper, and remaining salt to egg mixture; stir to combine. Cook for 10 minutes. Stir mixture, sprinkle with sesame seeds, if desired, and cook until heated throughout and crisp, 10 to 15 minutes more. Drizzle with Sriracha mayonnaise, and sprinkle with scallions.",31.jpg,"1 tablespoon canola oil, ⅓ cup chopped onion, ⅓ cup chopped carrot, 1 teaspoon kosher salt, divided, 2 large eggs, scrambled, 1 pound large peeled, deveined raw shrimp, 2 (8-oz.) pkg. pre-cooked microwavable brown rice, ¾ cup frozen green peas, 1 tablespoon soy sauce, 1 teaspoon rice vinegar, ¼ teaspoon black pepper, Toasted sesame seeds, optional, Sriracha mayonnaise and sliced scallions, for serving",dinner,15,4,45
Baileys Cheesecake,"This decadent Baileys cheesecake with a mocha crust, and rich Irish cream filling, is topped with a Baileys chocolate ganache for a scrumptious dessert.","Step1: Preheat the oven to 350 degrees F (175 degrees C) with rack in lower third position. Lightly grease an 8-inch springform pan with cooking spray and line with parchment on the bottom. Step2: Process cookies in a food processor until ground into small crumbs, 2 to 3 minutes. Pour in melted butter and process for another 30 seconds. Step3: Press evenly into bottom and about 1 inch up sides of prepared pan. Step4: Bake in the preheated oven until firm and fragrant, 10 to 12 minutes. Let cool slightly while making the filling, about 10 minutes. Step5: Reduce oven temperature to 300 degrees F (150 degrees C). Step6: Once crust is cooled, wrap bottom of pan with 2 layers of heavy-duty aluminum foil to prevent water from seeping into pan. Step7: To make the cheesecake filling: Add cream cheese to the bowl of a stand mixer fitted with the paddle attachment and beat on medium-low speed until creamy, about 2 minutes. Add sour cream, and beat on medium-low speed until fully combined, scraping down sides of bowl halfway through, about 2 minutes. Step8: Beat in sugar, espresso powder, vanilla, and salt, until combined, scraping down the sides of the bowl halfway through, about 1 minute. Add eggs, 1 at a time, beating on low speed just until combined after each addition and scraping down sides of bowl with a rubber spatula, 1 to 2 minutes. Step9: Add Baileys and beat on low speed until just combined, about 45 seconds. Step10: Pour filling onto cooled crust. Place springform pan into a larger roasting pan and place in preheated oven. Pour 1 1/2 cups of water in roasting pan and bake until the cheesecake is almost set (the center 2 inches should jiggle slightly) and edges have pulled away slightly from pan, 50 to 60 minutes. Step11: Turn off oven and leave door cracked open about 7 to 8 inches; let cheesecake stand in oven 30 minutes. Remove from oven and carefully lift cheesecake from water bath. Cover and chill at least 3 hours or overnight. Step12: To make the ganache: Heat cream and Baileys in a small saucepan over medium heat until warm to the touch, 3 to 4 minutes. Stir in espresso powder until fully combined. Add chocolate chips and let stand 1 minute; stir until smooth. Step13: Remove cheesecake from pan and place on a cake plate. Pour ganache evenly over chilled cheesecake, spreading slightly over edges with an offset spatula. Refrigerate until ganache is firm, about 30 minutes.",32.jpg,"Cookie Crust, cooking spray, 20 java chip-flavored creme-filled chocolatesandwich cookies (such as Oreo), 2 tablespoons butter, melted,  , Cheesecake Filling, 3 (8-oz.) pkg. cream cheese, at roomtemperature, 3/4 cup sour cream, at room temperature, 3/4 cup granulated sugar, 1 tablespoon instant espresso powder, 1 teaspoon vanilla extract, ¼ teaspoon table salt, 3 large eggs, at room temperature, 1/2 cup Baileys Irish Cream,  , Baileys Ganache, ¼ cup heavy cream, ¼ cup Baileys Irish Cream, 1 teaspoon instant espresso powder1cup milk chocolate chips, Sweetened whipped cream",dessert,45,10,360
Mocha Cookie Bars,"Like a cross between a cookie and a brownie, these mocha cinnamon bars are reminiscent of Mexican hot chocolate.","Step1: Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides. Step2: Stir espresso powder and coffee together in a small bowl until espresso powder is completely dissolved. Step3: Whisk flour, cocoa, cream of tartar, baking soda, salt, and 1/4 teaspoon cinnamon together in a bowl; set aside. Step4: Beat butter, 1/2 cup white sugar, and brown sugar with an electric mixer together until light and fluffy in a bowl. Beat in espresso mixture, egg, and vanilla until well combined. Stir in flour mixture; mix until a dough just begins to form. Press dough firmly and evenly into the prepared pan using lightly floured hands. Step5: Whisk 1 tablespoon white sugar and remaining 1/2 teaspoon cinnamon together in a small bowl; sprinkle sugar mixture evenly over the dough. Step6: Bake in the preheated oven just until the dough in the center of the pan feels barely set, 20 to 23 minutes. Step7: Allow cookies to cool in the pan for 10 minutes. Use the overhanging parchment to lift cookies out to a wire rack; cool completely before cutting into bars.",33.jpg,"1 tablespoon instant espresso powder, 1 tablespoon strong brewed coffee, 1 cup all-purpose flour, 0.25 cup unsweetened cocoa powder, 0.5 teaspoon cream of tartar, 0.5 teaspoon baking soda, 0.5 teaspoon salt, 0.25 teaspoon ground cinnamon, 0.5 cup unsalted butter, softened, 0.5 cup white sugar, 0.25 cup firmly packed brown sugar, 1 large egg, at room temperature, 2 teaspoons vanilla extract, 1 tablespoon white sugar, 0.5 teaspoon ground cinnamon",dessert,15,16,45
Puff Pastry Cherry Crostata,"This puff pastry cherry crostata is free-form and rustic like a galette, but with a flaky, buttery, puff pastry crust.","Step1: Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper. Step2: On a lightly floured surface, roll a well-chilled puff pastry sheet into an approximate 11 to 12-inch round. Trim edges into a circle shape, and transfer to the lined baking sheet. Step3: Stir cherries, brown sugar, cornstarch, cinnamon, almond extract, and salt together in a bowl until cherries are well coated. Spoon cherry mixture into the center of the pastry, leaving a 2-inch border. Lift up edges of the crust, and fold around, overlapping the cherry mixture. Step4: Whisk egg and water into an egg wash, brush edges of the pastry, and sprinkle with turbinado. Step5: Bake in the preheated oven until cherries are tender and crust is golden brown, 23 to 30 minutes. Warm marmalade in the microwave until melted, 15 to 20 seconds, and drizzle over the cherries to glaze. Step6: Allow to cool for about 15 minutes before cutting into wedges to serve.",34.jpg,"1/2 (17.3 ounce) package frozen Puff Pastry Sheets, thawed, 1 pound sweet cherries, pitted and halved, 2 tablespoons brown sugar, 1 tablespoon cornstarch, 1/2 teaspoon cinnamon, 1/2 teaspoon almond extract, 1/4 teaspoon salt, 1 egg, beaten, 1 tablespoon water, 1 tablespoon turbinado sugar, or to taste, 1 tablespoon orange marmalade (optional)",dessert,20,6,45
Mini Pancake Parfait,"Teeny pancakes get the parfait treatment when they’re layered with yogurt, mixed fruit, and pancakes’ bestie: maple syrup.","Step1: For each parfait, layer 1/3 cup vanilla yogurt, 1 tablespoon jam or fruit preserves, 3 mini pancakes, and 1/2 cup mixed berries in a wide-mouthed glass or jar. Repeat yogurt and berry layers. Add 2 additional pancakes and drizzle with maple syrup.",35.jpg,"2/3 cup vanilla yogurt, 1 tablespoon jam or fruit preserves, 5 (Mini) Good Old-Fashioned Pancakes (seearmagazine.com/good-old-fashioned-pancakes), 1 cup mixed berries",dessert,5,1,20
Air Fryer Turtle Cheesecake,"Did you know that you can use your air fryer to make turtle cheesecake? The flavors of chocolate, caramel, toasted pecans, and creamy cheesecake are a perfect match.","Step1: Line the bottom of a 7- to 7 1/2-inch springform pan or cake pan with parchment paper. Stir together graham crackers and 1 tablespoon sugar in a bowl. Stir in melted butter. Press crumb mixture into the bottom and 1 inch up the sides of the prepared pan. Step2: For the filling, combine cream cheese, sour cream, 1/3 cup sugar, lemon juice, vanilla, and salt in a bowl. Beat with an electric mixer at medium-high speed until smooth. Add eggs, 1 at a time, beating at low speed just until combined. Pour filling over the crust. Arrange pan in the air fryer basket. Step3: Set air fryer to 300 degrees F (150 degrees C). Step4: Cook for 15 minutes. Reduce temperature to 240 degrees F (115 degrees C) and cook 20 minutes more. The center of the cheesecake will appear wet and may jiggle slightly. Transfer cheesecake to a wire rack. Let stand about 15 minutes. Using a small sharp knife or thin spatula, loosen cheesecake from sides of pan; let stand until completely cooled, about 30 minutes more. Remove cheesecake from pan. Chill, covered, at least 4 hours or up to overnight. Step5: To serve, drizzle with chocolate and caramel ice cream toppings and sprinkle with pecans.",36.jpg,"1 cup graham cracker crumbs, 1/3 cup plus 1 tablespoon sugar, 6 tablespoon butter, melted, 12 ounces cream cheese, softened, 1/3 cup sour cream, 1 teaspoon lemon juice, 1 teaspoon vanilla extract, 1 pinch salt, 2 eggs, chocolate ice cream topping, caramel ice cream topping, chopped toasted pecans",dessert,20,8,340
Rough Puff,"This easy, rough puff pastry dough can be used for savory or sweet recipes, like tarts, hand pies, or palmiers.","Step1: Place flour and salt in the bowl of a stand mixer fitted with a paddle attachment. Add butter and toss with your fingertips until evenly coated with flour. Step2: Add water to bowl. Mix on low speed until the dough forms a shaggy mass, about 45 seconds. Step3: Cover bowl with plastic wrap and refrigerate until butter is firm but not brittle, about 20 minutes. Step4: Transfer dough to a floured work surface and roll into a 1/2-inch-thick rectangle that is about 10 1/2 x 6 inches. Step5: Fold one third of the longer side of the dough over the center third of dough. Fold the final third over the center (like you would fold a letter). Tightly wrap folded dough in plastic wrap and refrigerate until chilled, about 30 minutes. Repeat this process of rolling, folding and refrigerating 4 more times, turning the dough 90 degrees each time before rolling. Step6: After completing the final fold, wrap the dough tightly in plastic wrap and refrigerate until firm, at least 1 hour or up to 2 days.",37.jpg,"2 cups all-purpose flour, plus more for dusting, 0.5 teaspoon kosher salt, 1 cup cold unsalted butter, cubed, 0.5 cup cold water",dessert,30,8,210
Creme Patissiere,"Creme patissiere is a rich vanilla custard that’s thickened with cornstarch to make a silky, sturdy pastry cream that’s perfect for filling French pastries.","Step1: Whisk 1/3 of the cold milk and cornstarch together in a medium bowl until smooth. Step2: Pour remaining milk and sugar into a small saucepan. Heat over medium heat, stirring occasionally, until milk begins to simmer; remove from heat and set aside. Step3: Stir egg and egg yolks into cornstarch mixture; gradually whisk in hot milk. Pour mixture back into the small saucepan; cook over medium-low heat, whisking constantly, until thickened and mixture coats the back of a spoon, about 3 to 5 minutes. Step4: Remove custard from heat; whisk in butter and vanilla until smooth. Step5: Transfer into a bowl and cover directly with plastic wrap to prevent a skin forming; allow to cool before using.",38.jpg,"2 cups milk, divided, 2 tablespoons cornstarch, 1/3 cup white sugar, 1 large egg, 2 large egg yolks, 1/4 cup butter, 1 teaspoon vanilla extract",dessert,5,4,15
Oreo Cheesecake Bars,These oreo cheesecake bars are simply irresistible for everyone loving cookies and cream. They are surprisingly easy to make and will feed a crowd.,"Step1: Gather all ingredients. Preheat the oven to 325 degrees F (165 degrees C). Step2: Line a 13x9x2-inch baking pan with heavy-duty foil, allowing 2 inches of overhang on two opposite sides of the pan. Coat foil lightly with nonstick cooking spray; set aside. Step3: Place 30 cookies in a food processor. Cover and pulse until finely ground. Step4: Add melted butter and pulse just until combined. Step5: Transfer mixture to the prepared pan. Press crumbs evenly into the bottom of the pan. Step6: Bake in the preheated oven until set, about 10 minutes. Step7: Meanwhile, combine cream cheese and sugar in a large bowl and beat with an electric mixer on high until light and fluffy, about 3 minutes. Step8: Add sour cream, eggs, vanilla, and salt. Beat until just combined. Step9: Coarsely crush the remaining oreos by placing them in a resealable bag and hitting it with a rolling pin. Step10: Reserve 1/2 cup of the cookie crumbs. Fold the remaining crumbs into the batter. Step11: Pour batter evenly over prebaked crust, smoothing the top as necessary. Step12: Sprinkle with reserved cookie crumbs. Step13: Bake in the preheated oven until the center appears set, with a slight jiggle, 35 to 40 minutes. Step14: Cool in a pan on a wire rack for 2 hours, or until completely cool. Cover and chill for at least 1 hour. Step15: Remove uncut bars from the pan by lifting foil. Step16: Cut into 2x2-inch bars to serve.",39.jpg,"nonstick cooking spray, 1 (19.1-ounce) package chocolate sandwich cookies with white filling (such as Oreos ®), 1/4 cup salted butter, 3 (8-ounce) packages cream cheese, softened, 1 cup sugar, 3/4 cup sour cream, 3 eggs, 1 teaspoon vanilla, 1/4 teaspoon salt",dessert,25,48,245
Samoa Cookie Bars,Classic Girl Scout Samoa cookies (Caramel-deLites) in bar shape but with all the flavor of the original.,"Step1: Preheat the oven to 350 degrees F (175 degrees C). Line a 9x13-inch baking pan with foil, extending foil over edges. Coat foil with cooking spray. Step2: For crust, stir together flour, cornstarch, baking powder, and salt in a small bowl. Step3: Beat butter in a large bowl with an electric mixer at medium speed for 30 seconds. Add both sugars and beat until light and fluffy at medium-high speed. Beat in egg yolk and vanilla extract. Beat in flour mixture (mixture will be crumbly). Press dough onto the bottom of the prepared pan. Step4: Bake crust in the preheated oven until edges are light brown, 10 to 12 minutes. Step5: Meanwhile, combine dulce de leche and milk in a medium bowl. Stir in flaked coconut. Step6: Sprinkle 1 1/2 cups chocolate chips over the hot crust; let stand for 5 minutes until chocolate has melted. Spread melted chocolate over crust in an even layer. Carefully spread coconut mixture over chocolate layer. Return to the oven and bake 10 minutes more. Cool in the pan on a wire rack. Step7: Microwave remaining chocolate chips in a small bowl, stirring once halfway through, until melted and smooth, 30 to 45 seconds. Drizzle melted chocolate over coconut mixture. Chill, covered, until set, about 1 hour. Using foil, lift out uncut cookies. Cut into bars.",40.jpg,"cooking spray, 1.5 cups flour, 1 tablespoon cornstarch, 0.5 teaspoon baking powder, 0.5 teaspoon salt, 0.5 cup butter, softened, 0.25 cup white sugar, 0.25 cup packed brown sugar, 1 large egg yolk, 1 teaspoon vanilla extract, 1 (13.4 ounce) can dulce de leche, 3 tablespoons milk, 1 (14 ounce) package sweetened flaked coconut, 1 (12 ounce) bag semisweet chocolate chips, divided",dessert,30,24,110
